graph,request,time_int_adj,sqr_time,sqr_pairs_time,sqr_pairs,adj_time,adj_pairs_time,adj_pairs
LUBM1.9M,q_15/1,4195870308,750047313,446585240,4904900,772077050,445630406,4904900
LUBM1.9M,q_15/1,4123475905,752027690,456289922,4904900,768077880,485058993,4904900
LUBM1.9M,q_15/1,4386753710,756756028,517525256,4904900,770204024,489756227,4904900
LUBM1.9M,q_15/1,4370040053,762206117,518436214,4904900,757570788,485354322,4904900
LUBM1.9M,q_15/1,4115353287,751993979,519207273,4904900,769841538,490014460,4904900
LUBM1.9M,q_15/4,4611887476,1102016189,1390640938,14525132,1120388171,1331373658,14525132
LUBM1.9M,q_15/4,4637442306,1088832746,1390233987,14525132,1115686779,1335381077,14525132
LUBM1.9M,q_15/4,4649791670,1093024895,1385269585,14525132,1133558957,1323571645,14525132
LUBM1.9M,q_15/4,4474646194,1089827671,1389112791,14525132,1134610531,1331786505,14525132
LUBM1.9M,q_15/4,4608599259,1088016589,1384683788,14525132,1129818788,1334425631,14525132
LUBM1.9M,q_15/6,4211084476,1013168927,1118861700,11513092,982601509,1081094860,11513092
LUBM1.9M,q_15/6,4385717714,1001801092,1116451550,11513092,972757222,1090268100,11513092
LUBM1.9M,q_15/6,4051875550,1003007308,1108585923,11513092,985408871,1082292501,11513092
LUBM1.9M,q_15/6,4350663326,1025152473,1121740253,11513092,978963928,1100751579,11513092
LUBM1.9M,q_15/6,4418015317,1001217629,1113584803,11513092,1002242800,1078538290,11513092
LUBM1.9M,q_15/0,3880528621,266406316,193655187,1754072,291576864,194989924,1754072
LUBM1.9M,q_15/0,3911162592,268574428,194117358,1754072,288964765,194709608,1754072
LUBM1.9M,q_15/0,4269017713,281757405,202773095,1754072,301413228,194137056,1754072
LUBM1.9M,q_15/0,4205909567,292879198,201949526,1754072,302732664,193905976,1754072
LUBM1.9M,q_15/0,3914899338,275190953,193912085,1754072,284296544,194329648,1754072
LUBM1.9M,q_15/5,3913402432,609269545,359152318,3203324,620241975,359449393,3203324
LUBM1.9M,q_15/5,4071471215,580094123,339505455,3203324,607769190,341899467,3203324
LUBM1.9M,q_15/5,4905661434,654357573,383767324,3203324,633777720,355707764,3203324
LUBM1.9M,q_15/5,4483621516,623263619,372723676,3203324,1087494457,369431320,3203324
LUBM1.9M,q_15/5,4669056823,630679425,392320072,3203324,640338532,346981256,3203324
LUBM1.9M,q_15/3,4973942493,1571774155,328704609,2185986,1660131918,307797249,2185986
LUBM1.9M,q_15/3,6137918459,1633009185,323220312,2185986,1778278773,309022636,2185986
LUBM1.9M,q_15/3,6242205141,1584224996,315014021,2185986,1666263177,314443540,2185986
LUBM1.9M,q_15/3,6728616010,1614318184,309286646,2185986,1678610922,316230802,2185986
LUBM1.9M,q_15/3,7030736797,1576248270,303341438,2185986,1649388437,298466862,2185986
LUBM1.9M,q_15/2,7027110431,1592548095,265622681,1809204,1664766907,266702925,1809204
LUBM1.9M,q_15/2,6002718136,1636127485,269038055,1809204,1674989297,265024973,1809204
LUBM1.9M,q_15/2,5829901627,1547849577,272588454,1809204,1726001670,272953755,1809204
LUBM1.9M,q_15/2,6018076148,1610838120,268193372,1809204,1682524734,260728227,1809204
LUBM1.9M,q_15/2,6033799259,1585399703,282756021,1809204,1702523995,267835004,1809204
LUBM1.9M,q_15/9,6417268318,1794256481,724358542,5764892,1939031266,714021399,5764892
LUBM1.9M,q_15/9,6558789135,1869025436,711963851,5764892,1883700651,716957598,5764892
LUBM1.9M,q_15/9,6133762330,1837767360,710237144,5764892,1888098647,709100573,5764892
LUBM1.9M,q_15/9,6529105872,1781652580,720014949,5764892,2065256560,807465394,5764892
LUBM1.9M,q_15/9,6304939347,1813761241,737167220,5764892,1841324777,725398997,5764892
LUBM1.9M,q_15/7,6137779415,1590252796,354783212,2510840,1666172520,357489345,2510840
LUBM1.9M,q_15/7,5447824358,1644875025,384587704,2510840,1709923147,418543145,2510840
LUBM1.9M,q_15/7,4454874188,925768766,277564974,2510840,794960032,244509283,2510840
LUBM1.9M,q_15/7,4261547255,749540656,257210744,2510840,764084212,241441711,2510840
LUBM1.9M,q_15/7,4036719285,757207672,252810446,2510840,770061020,241156422,2510840
LUBM1.9M,q_15/8,4554084609,751904745,818780971,7957350,750124617,818748373,7957350
LUBM1.9M,q_15/8,4409941995,835984238,877592136,7957350,824892713,861190908,7957350
LUBM1.9M,q_15/8,4652106342,749272673,822912310,7957350,763597428,812816994,7957350
